真实房价,预测房价
1647000,985721.45
3864000,1283453.34
6682600,4524368.63
2160000,2191802.89
7022000,6688566.3
1092600,1374320.23
1196400,1600394.79
661400,356683.03
1045200,1484657.09
1208600,1991300.55
561300,811127.04
2398000,6582588.97
5099000,4086282.03
1108000,352603.42
555400,202368.13
4655000,5181534.72
3083000,640081.3
1095000,1943633.23
865670,1349312.47
661400,731252.37
2235200,4422641.81
2089000,2191324.64
953000,1666072.52
1454500,1465652.63
1839500,1665496.29
1769500,1601040.02
4780000,3424413.06
2994000,3992195.81
5950000,5137670.23
6338000,4959341.31
798460,1546117.84
2728000,2274093.64
4650800,4192430.82
3863200,2899721.02
3123200,5000788.86
5047200,7420395.54
1038200,-354553.21
1924200,1528770.31
2383200,4878920.01
541200,1631987.7
2368400,6078609.11
7949200,6136303.42
836400,1473699.14
3360000,3584456.63
3501900,979211.29
3366400,6088736.37
4840000,3269561.75
2436900,2270317.15
2231000,3045624.53
4536600,4760224.68
646000,209821.77
1521000,1791504.57
2375800,3365740.99
4265000,2370326.38
12570000,6954860.14
1776400,4588795.53
1371900,2357241.64
2094600,3309625.68
4751200,5247325.9
2657000,4435408.32
1435800,2575001.78
1383600,898313.33
769200,1144551.59
1237000,724105.42
1130500,265041.4
1218000,1138721.65
1364800,2035539.23
1339000,1597393.19
757200,1554784.31
2842000,2024882.55
1091060,1493319.0
706800,1309339.33
5958000,6217990.75
12174800,6371058.13
1246000,2985715.44
3730000,2312387.34
4174000,5311116.42
5728000,4011109.22
1717200,3598496.71
1588000,4313241.65
4758600,6189954.17
1300500,-39721.89
569000,-438269.14
1516100,1358662.16
1798600,3300269.15
4286000,3537325.76
4899200,4749508.44
3952000,3309625.68
22156000,4672721.57
3804000,3309625.68
2705200,3466073.16
2522800,4772091.06
711600,1284374.69
2074800,3566096.16
1454500,1801566.88
1947000,1886815.69
723000,-35507.04
1058600,5035965.56
1100300,983033.84
1223500,1533442.92
20602000,9420682.81
2622000,2096523.49
1007900,1395485.24
1769000,4138632.55
3138000,5082627.85
1146000,1539982.45
1843000,3779931.76
2168600,2260070.9
1801000,2312985.5
1416000,1460393.79
4856000,3569042.13
3495000,2039129.06
930900,507406.98
1870300,2144955.83
592100,254581.77
8070800,6486190.94
1237000,2126331.24
718700,1354554.13
